Test01, Exch0Lit, 100.875,140,1,AAAA,AA, {'party2': 'B15', 'party1': 'S15', 'price': 140, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.87500000000581, 'type': 'Trade'}
Test01, Exch0Lit, 101.1,146,1,AAA,AA, {'party2': 'B18', 'party1': 'S05', 'price': 146, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.10000000000586, 'type': 'Trade'}
Test01, Exch0Lit, 102.225,148,1,AAA,AA, {'party2': 'B06', 'party1': 'S07', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.22500000000612, 'type': 'Trade'}
Test01, Exch0Lit, 103.375,148,1,AAA,AA, {'party2': 'B04', 'party1': 'S03', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.37500000000638, 'type': 'Trade'}
Test01, Exch0Lit, 103.55,148,1,AAAA,AA, {'party2': 'B13', 'party1': 'S12', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.55000000000642, 'type': 'Trade'}
Test01, Exch0Lit, 103.6,148,1,AAAA,MLOFI, {'party2': 'B13', 'party1': 'S02', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.60000000000643, 'type': 'Trade'}
Test01, Exch0Lit, 103.675,148,1,AAAA,MLOFI, {'party2': 'B13', 'party1': 'S19', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.67500000000645, 'type': 'Trade'}
Test01, Exch0Lit, 103.8,150,1,AAAA,MLOFI, {'party2': 'B07', 'party1': 'S08', 'price': 150, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.80000000000648, 'type': 'Trade'}
Test01, Exch0Lit, 103.8,150,1,AAAA,MLOFI, {'party2': 'B07', 'party1': 'S01', 'price': 150, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.80000000000648, 'type': 'Trade'}
Test01, Exch0Lit, 103.8,150,1,AAAA,MLOFI, {'party2': 'B07', 'party1': 'S18', 'price': 150, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.80000000000648, 'type': 'Trade'}
