Test34, 000200, AA, 673, 10, 67.300000, AAA, 105, 10, 10.500000, AAAA, 286, 10, 28.600000, MLOFI, 936, 10, 93.600000, 148, N, 
Test35, 000200, AA, 175, 10, 17.500000, AAA, 372, 10, 37.200000, AAAA, 1114, 10, 111.400000, MLOFI, 339, 10, 33.900000, 148, N, 
Test36, 000200, AA, 808, 10, 80.800000, AAA, 183, 10, 18.300000, AAAA, 195, 10, 19.500000, MLOFI, 814, 10, 81.400000, 148, N, 
Test37, 000200, AA, 655, 10, 65.500000, AAA, 233, 10, 23.300000, AAAA, 839, 10, 83.900000, MLOFI, 273, 10, 27.300000, 148, N, 
Test38, 000200, AA, 696, 10, 69.600000, AAA, 98, 10, 9.800000, AAAA, 225, 10, 22.500000, MLOFI, 981, 10, 98.100000, 148, N, 
Test39, 000200, AA, 928, 10, 92.800000, AAA, 5, 10, 0.500000, AAAA, 85, 10, 8.500000, MLOFI, 982, 10, 98.200000, 148, N, 
Test40, 000200, AA, 974, 10, 97.400000, AAA, 10, 10, 1.000000, AAAA, 31, 10, 3.100000, MLOFI, 985, 10, 98.500000, 148, N, 
Test41, 000200, AA, 753, 10, 75.300000, AAA, 226, 10, 22.600000, AAAA, 318, 10, 31.800000, MLOFI, 703, 10, 70.300000, 148, N, 
Test42, 000200, AA, 801, 10, 80.100000, AAA, 142, 10, 14.200000, AAAA, 118, 10, 11.800000, MLOFI, 939, 10, 93.900000, 148, N, 
Test43, 000200, AA, 457, 10, 45.700000, AAA, 234, 10, 23.400000, AAAA, 497, 10, 49.700000, MLOFI, 812, 10, 81.200000, 148, N, 
Test44, 000200, AA, 849, 10, 84.900000, AAA, 111, 10, 11.100000, AAAA, 96, 10, 9.600000, MLOFI, 944, 10, 94.400000, 148, N, 
Test45, 000200, AA, 888, 10, 88.800000, AAA, 57, 10, 5.700000, AAAA, 70, 10, 7.000000, MLOFI, 985, 10, 98.500000, 148, N, 
Test46, 000200, AA, 368, 10, 36.800000, AAA, 403, 10, 40.300000, AAAA, 747, 10, 74.700000, MLOFI, 482, 10, 48.200000, 148, N, 
Test47, 000200, AA, 647, 10, 64.700000, AAA, 171, 10, 17.100000, AAAA, 215, 10, 21.500000, MLOFI, 967, 10, 96.700000, 148, N, 
Test48, 000200, AA, 683, 10, 68.300000, AAA, 237, 10, 23.700000, AAAA, 261, 10, 26.100000, MLOFI, 819, 10, 81.900000, 148, N, 
Test49, 000200, AA, 567, 10, 56.700000, AAA, 98, 10, 9.800000, AAAA, 494, 10, 49.400000, MLOFI, 841, 10, 84.100000, 148, N, 
Test50, 000200, AA, 897, 10, 89.700000, AAA, 102, 10, 10.200000, AAAA, 26, 10, 2.600000, MLOFI, 975, 10, 97.500000, 148, N, 
Test51, 000200, AA, 678, 10, 67.800000, AAA, 162, 10, 16.200000, AAAA, 510, 10, 51.000000, MLOFI, 650, 10, 65.000000, 148, N, 
Test52, 000200, AA, 773, 10, 77.300000, AAA, 83, 10, 8.300000, AAAA, 167, 10, 16.700000, MLOFI, 977, 10, 97.700000, 148, N, 
