Date,Close,Volume
2025-03-25T01:20:00.000Z,"87,310.20",0
2025-03-25T01:25:00.000Z,"87,142.52",0
2025-03-25T01:30:00.000Z,"86,866.50","39,653,376.00"
2025-03-25T01:35:00.000Z,"86,988.77","392,165,376.00"
2025-03-25T01:40:00.000Z,"87,096.59","57,671,680.00"
2025-03-25T01:45:00.000Z,"87,091.26",0
2025-03-25T01:50:00.000Z,"87,224.65","92,940,288.00"
2025-03-25T01:55:00.000Z,"87,076.02",0
2025-03-25T02:00:00.000Z,"87,067.09","179,636,224.00"
2025-03-25T02:05:00.000Z,"86,980.21",0
2025-03-25T02:10:00.000Z,"86,906.95","132,268,032.00"
2025-03-25T02:15:00.000Z,"87,009.88",0
2025-03-25T02:20:00.000Z,"87,031.33","105,908,224.00"
2025-03-25T02:25:00.000Z,"87,044.32","75,483,136.00"
2025-03-25T02:30:00.000Z,"86,964.47","68,325,376.00"
2025-03-25T02:35:00.000Z,"86,996.81",0
2025-03-25T02:40:00.000Z,"86,960.12",0
2025-03-25T02:45:00.000Z,"86,962.29","32,270,336.00"
2025-03-25T02:50:00.000Z,"86,930.74",0
2025-03-25T02:55:00.000Z,"86,871.74",0
2025-03-25T03:00:00.000Z,"86,866.33","56,842,240.00"
2025-03-25T03:05:00.000Z,"86,948.30",0
2025-03-25T03:10:00.000Z,"86,966.23","68,026,368.00"
2025-03-25T03:15:00.000Z,"86,750.20",0
2025-03-25T03:20:00.000Z,"86,715.38",0
2025-03-25T03:25:00.000Z,"86,784.23",0
2025-03-25T03:30:00.000Z,"86,825.45","4,587,520.00"
2025-03-25T03:35:00.000Z,"86,589.34",0
2025-03-25T03:40:00.000Z,"86,557.89","336,320,512.00"
2025-03-25T03:45:00.000Z,"86,452.48","139,919,360.00"
2025-03-25T03:50:00.000Z,"86,508.80",0
2025-03-25T03:55:00.000Z,"86,508.72","112,508,928.00"
2025-03-25T04:00:00.000Z,"86,370.98",0
2025-03-25T04:05:00.000Z,"86,542.27",0
2025-03-25T04:10:00.000Z,"86,645.61","7,540,736.00"
2025-03-25T04:15:00.000Z,"86,566.57","156,033,024.00"
2025-03-25T04:20:00.000Z,"86,564.70",0
2025-03-25T04:25:00.000Z,"86,561.92","34,150,400.00"
2025-03-25T04:30:00.000Z,"86,475.12",0
2025-03-25T04:35:00.000Z,"86,497.14",0
2025-03-25T04:40:00.000Z,"86,484.47",0
2025-03-25T04:45:00.000Z,"86,479.64",0
2025-03-25T04:50:00.000Z,"86,471.54",0
2025-03-25T04:55:00.000Z,"86,520.88",0
2025-03-25T05:00:00.000Z,"86,485.23","148,344,832.00"
2025-03-25T05:05:00.000Z,"86,522.45",0
2025-03-25T05:10:00.000Z,"86,430.04",0
2025-03-25T05:15:00.000Z,"86,529.52","263,292,928.00"
2025-03-25T05:20:00.000Z,"86,568.98",0
2025-03-25T05:25:00.000Z,"86,617.30","11,730,944.00"
2025-03-25T05:30:00.000Z,"86,726.40",0
2025-03-25T05:35:00.000Z,"86,666.73","194,052,096.00"
2025-03-25T05:40:00.000Z,"86,697.99",0
2025-03-25T05:45:00.000Z,"86,739.33","347,375,616.00"
2025-03-25T05:50:00.000Z,"86,780.70","121,298,944.00"
2025-03-25T05:55:00.000Z,"86,696.52",0
2025-03-25T06:00:00.000Z,"86,665.66",0
2025-03-25T06:05:00.000Z,"86,727.19",0
